english_name,class,credit_cost,technology_cost,production,maintenance_cost,unit_hull,unit_handling,unit_shield,unit_interception,unit_energy_strikes,unit_explosive_strikes,unit_repair_coef,unit_invasion_coef,unit_raid_coef
2 Scouts,:fighter,900,0,120,1,12,90,0,0,[4],[],0,0,0
4 Scouts,:fighter,1800,0,232,2,12,90,0,0,[4],[],0,0,0
8 Scouts,:fighter,2900,0,472,4,12,90,0,0,[4],[],0,0,0
16 Scouts,:fighter,5800,0,944,8,12,90,0,0,[4],[],0,0,0
2 Light Fighters,:fighter,1400,0,352,8,25,65,10,0,"[9,9]",[3],0,0,0
4 Light Fighters,:fighter,2700,25,704,16,25,65,10,0,"[9,9]",[3],0,0,0
8 Light Fighters,:fighter,4300,50,1408,32,25,65,10,0,"[9,9]",[3],0,0,0
16 Light Fighters,:fighter,8600,100,2824,64,25,65,10,0,"[9,9]",[3],0,0,0
2 Fighter-Bombers,:fighter,1400,0,352,10,20,60,0,0,[],[10],0,0,1
4 Fighter-Bombers,:fighter,2700,25,704,20,20,60,0,0,[],[10],0,0,1
8 Fighter-Bombers,:fighter,4300,50,1408,40,20,60,0,0,[],[10],0,0,1
16 Fighter-Bombers,:fighter,8600,100,2824,80,20,60,0,0,[],[10],0,0,1
2 Interceptors,:fighter,1400,0,352,8,25,75,0,0,"[6,6,6,6]",[],0,0,0
4 Interceptors,:fighter,2700,25,704,16,25,75,0,0,"[6,6,6,6]",[],0,0,0
8 Interceptors,:fighter,4300,50,1408,32,25,75,0,0,"[6,6,6,6]",[],0,0,0
16 Interceptors,:fighter,8600,100,2824,64,25,75,0,0,"[6,6,6,6]",[],0,0,0
2 Light Corvettes,:corvette,4300,80,1176,14,75,40,30,0,"[19,19]","[6,6]",0,0,2
4 Light Corvettes,:corvette,8600,160,2352,28,75,40,30,0,"[19,19]","[6,6]",0,0,2
8 Light Corvettes,:corvette,17300,320,4704,56,75,40,30,0,"[19,19]","[6,6]",0,0,2
2 Heavy Corvettes,:corvette,4300,100,1176,15,110,30,20,15,[],[18],0,0,3
4 Heavy Corvettes,:corvette,8600,200,2352,30,110,30,20,15,[],[18],0,0,3
8 Heavy Corvettes,:corvette,17300,400,4704,60,110,30,20,15,[],[18],0,0,3
2 Multi-Turret Corvettes,:corvette,8600,875,1426,30,335,20,10,7,"[11,11,11,11,11,11]",[],0,0,0
4 Multi-Turret Corvettes,:corvette,17300,1750,2852,60,335,20,10,7,"[11,11,11,11,11,11]",[],0,0,0
8 Multi-Turret Corvettes,:corvette,34600,3500,5704,120,335,20,10,7,"[11,11,11,11,11,11]",[],0,0,0
Colonisation Ship,:transport,60000,15000,32000,100,400,0,10,10,[],[],0,0,0
Carrier,:transport,18000,3000,6720,300,1500,30,50,5,"[3,3]",[],10,30,0
2 Assault Frigates,:frigate,9200,200,3920,40,200,20,60,10,"[26,26]",[77],0,2,0
4 Assault Frigates,:frigate,22000,400,7840,80,200,20,60,10,"[26,26]",[77],0,2,0
2 Gunners,:frigate,21600,3000,3920,60,320,10,35,20,[],[390],0,,8
4 Gunners,:frigate,43200,6000,7840,120,320,10,35,20,[],[390],0,,8
2 Drone Carriers,:frigate,21600,2500,5880,100,950,20,65,30,"[8,8,8,8,8,8,8,8,8,8]",[],2,0,2
4 Drone Carriers,:frigate,43200,5000,11760,200,950,20,65,30,"[8,8,8,8,8,8,8,8,8,8]",[],2,0,2
2 Repair Platforms,:frigate,21600,500,3000,75,1500,15,30,80,[],[16],75,2,0
4 Repair Platforms,:frigate,43200,1000,6000,150,1500,15,30,80,[],[16],75,2,0
Destroyer,:capital,200000,25000,100000,1400,4000,0,65,40,"[150,150,150,150,50,50,50,50,50,50,50,50,50,50]","[50,50,50,50,50,50,50,50]",10,0,30
Cruiser,:capital,250000,30000,120000,1600,5000,0,50,70,"[120,120,120,120,120,120,80,80,80,80,30,30,30,30,30,30]","[800,100,100]",30,20,50
Coordinator,:capital,320000,35000,120000,1500,7000,0,85,75,"[30,30,30,30,30,30,30,30]","[20,20,20,20,20,20]",500,200,0
